
0	0	0
0	0.1	1.11803
0	0.2	1.53884
0	0.3	1.11803
0	0.4	0.363271
0	0.5	0
0	0.6	0.363271
0	0.7	1.11803
0	0.8	1.53884
0	0.9	1.11803
0	1	0

0.01	0	0
0.01	0.1	0.420808
0.01	0.2	0.697226
0.01	0.3	0.784079
0.01	0.4	0.754763
0.01	0.5	0.726543
0.01	0.6	0.754762
0.01	0.7	0.784079
0.01	0.8	0.697226
0.01	0.9	0.420808
0.01	1	0

0.02	0	0
0.02	0.1	0.276418
0.02	0.2	0.507661
0.02	0.3	0.66791
0.02	0.4	0.755859
0.02	0.5	0.782982
0.02	0.6	0.755859
0.02	0.7	0.667909
0.02	0.8	0.507662
0.02	0.9	0.276418
0.02	1	0

0.03	0	0
0.03	0.1	0.231242
0.03	0.2	0.436668
0.03	0.3	0.59561
0.03	0.4	0.695033
0.03	0.5	0.728736
0.03	0.6	0.695032
0.03	0.7	0.595612
0.03	0.8	0.436665
0.03	0.9	0.231244
0.03	1	0

0.04	0	0
0.04	0.1	0.205425
0.04	0.2	0.390184
0.04	0.3	0.536091
0.04	0.4	0.629313
0.04	0.5	0.66133
0.04	0.6	0.629316
0.04	0.7	0.536086
0.04	0.8	0.39019
0.04	0.9	0.205422
0.04	1	0

0.05	0	0
0.05	0.1	0.184759
0.05	0.2	0.351332
0.05	0.3	0.483406
0.05	0.4	0.568108
0.05	0.5	0.597299
0.05	0.6	0.5681
0.05	0.7	0.48342
0.05	0.8	0.351318
0.05	0.9	0.184768
0.05	1	0

0.06	0	0
0.06	0.1	0.166573
0.06	0.2	0.316833
0.06	0.3	0.436034
0.06	0.4	0.512597
0.06	0.5	0.538909
0.06	0.6	0.512619
0.06	0.7	0.435997
0.06	0.8	0.316871
0.06	0.9	0.166549
0.06	1	0

0.07	0	0
0.07	0.1	0.15026
0.07	0.2	0.285774
0.07	0.3	0.393395
0.07	0.4	0.462346
0.07	0.5	0.486307
0.07	0.6	0.462286
0.07	0.7	0.393493
0.07	0.8	0.285676
0.07	0.9	0.150321
0.07	1	0

0.08	0	0
0.08	0.1	0.135514
0.08	0.2	0.257881
0.08	0.3	0.354725
0.08	0.4	0.417356
0.08	0.5	0.438326
0.08	0.6	0.417514
0.08	0.7	0.354469
0.08	0.8	0.258139
0.08	0.9	0.135354
0.08	1	0

0.09	0	0
0.09	0.1	0.122366
0.09	0.2	0.232359
0.09	0.3	0.320512
0.09	0.4	0.375694
0.09	0.5	0.396545
0.09	0.6	0.37528
0.09	0.7	0.321184
0.09	0.8	0.231684
0.09	0.9	0.122785
0.09	1	0

0.1	0	0
0.1	0.1	0.109992
0.1	0.2	0.21052
0.1	0.3	0.287541
0.1	0.4	0.341362
0.1	0.5	0.35443
0.1	0.6	0.342449
0.1	0.7	0.28578
0.1	0.8	0.212286
0.1	0.9	0.108899
0.1	1	0
